Sygnatura czasowa,Płeć,Wiek,Miejsce zamieszkania,Wykształcenie,"Miesięczny dochód netto (""na rękę"")",Czy zdarza Ci się kupować kosmetyki zrównoważone?,Które z tych cech posiadanych przez kosmetyki zrównoważone są dla Ciebie najważniejsze lub decydujące przy ich zakupie? (wybierz maksymalnie 3),Jak ważne są dla Ciebie poniższe czynniki podczas podejmowania decyzji o zakupie kosmetyków zrównoważonych? [cena],Jak ważne są dla Ciebie poniższe czynniki podczas podejmowania decyzji o zakupie kosmetyków zrównoważonych? [skład],Jak ważne są dla Ciebie poniższe czynniki podczas podejmowania decyzji o zakupie kosmetyków zrównoważonych? [marka],Jak ważne są dla Ciebie poniższe czynniki podczas podejmowania decyzji o zakupie kosmetyków zrównoważonych? [estetyczne opakowanie],Jak ważne są dla Ciebie poniższe czynniki podczas podejmowania decyzji o zakupie kosmetyków zrównoważonych? [posiadane certyfikaty jakości lub atesty],"Jeśli zobaczę reklamę kosmetyku zrównoważonego, jest większa szansa, że zdecyduję się na jego zakup.","Jeśli kosmetyk zrównoważony zostanie polecony przez lubianego przeze mnie influencera, twórcę na social media lub celebrytę, jest większa szansa, że zdecyduję się na jego zakup.","Jeśli zobaczę kosmetyk zrównoważony w kampanii edukacyjnej lub środowiskowej, jest większa szansa, że zdecyduję się na jego zakup.",Często rozmawiam ze znajomymi o kosmetykach zrównoważonych.,Często polecam moim znajomym wypróbowane przeze mnie kosmetyki zrównoważone.,"Uważam, że jestem w stanie zmienić nastawienie lub/i opinię moich znajomych w kwestii kosmetyków zrównoważonych.","Wybierając kosmetyki zrównoważone, często kieruję się opinią lub rekomendacjami znajomych.","Jeśli moi znajomi używają i polecają konkretny kosmetyk zrównoważony, jest większa szansa, że zdecyduję się na jego zakup.","Uważam, że moi znajomi są w stanie wpłynąć na moją opinię lub/i nastawienie w kwestii kosmetyków zrównoważonych.","Zakupię kosmetyki zrównoważone, nawet jeśli będą droższe niż normalne kosmetyki.","W innych sferach życia poza kosmetykami, często sięgam po ekologiczne, przyjazne dla środowiska produkty (np. artykuły gospodarstwa domowego, ubrania czy artykuły spożywcze).",Regularnie segreguję odpady.,Zwracam uwagę na oszczędzanie energii elektrycznej.,"Jeśli nie stosujesz kosmetyków zrównoważonych, które z tych przyczyn są Ci bliskie? (wybierz maksymalnie 3)"
2024-03-11 20:34:16,kobieta,26-30,miejscowość do 250 tys. mieszkańców,wyższe,4001 - 5000,tak,"naturalne (min. 95% składników pochodzenia naturalnego), organiczne (min. 95% składników pochodzenia naturalnego i z upraw ekologicznych)",trochę ważne,średnio ważne,w ogóle nieważne,trochę ważne,w ogóle nieważne,raczej się zgadzam,raczej się nie zgadzam,raczej się zgadzam,raczej się nie zgadzam,nie mam zdania/trudno powiedzieć,nie mam zdania/trudno powiedzieć,raczej się nie zgadzam,raczej się zgadzam,raczej się nie zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,
2024-03-11 20:35:15,mężczyzna,21-25,miejscowość do 100 tys. mieszkańców,średnie,3000 i poniżej,tak,"cruelty-free (nietestowane na zwierzętach), fair-trade (sprawiedliwy handel), opakowanie z recyklingu",średnio ważne,ważne,w ogóle nieważne,w ogóle nieważne,trochę ważne,zdecydowanie się zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,zdecydowanie się zgadzam,raczej się nie zgadzam,nie mam zdania/trudno powiedzieć,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,
2024-03-11 20:48:52,kobieta,26-30,miejscowość powyżej 500 tys. mieszkańców,wyższe,6001 - 7000,tak,carbon-neutral (o neutralnym śladzie węglowym),bardzo ważne,średnio ważne,średnio ważne,ważne,ważne,raczej się nie zgadzam,raczej się nie zgadzam,raczej się zgadzam,zdecydowanie się nie zgadzam,zdecydowanie się nie zgadzam,nie mam zdania/trudno powiedzieć,raczej się nie zgadzam,raczej się nie zgadzam,zdecydowanie się nie zgadzam,zdecydowanie się nie zgadzam,raczej się nie zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,
2024-03-11 20:58:20,kobieta,21-25,miejscowość powyżej 500 tys. mieszkańców,wyższe,3000 i poniżej,tak,"cruelty-free (nietestowane na zwierzętach), opakowanie z recyklingu",ważne,bardzo ważne,w ogóle nieważne,w ogóle nieważne,ważne,raczej się zgadzam,raczej się nie zgadzam,nie mam zdania/trudno powiedzieć,zdecydowanie się nie zgadzam,zdecydowanie się nie zgadzam,nie mam zdania/trudno powiedzieć,raczej się nie zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,
2024-03-11 21:00:45,kobieta,31-35,miejscowość powyżej 500 tys. mieszkańców,wyższe,nie chcę podawać,tak,"cruelty-free (nietestowane na zwierzętach), fair-trade (sprawiedliwy handel), zero-waste (zero odpadów)",ważne,średnio ważne,trochę ważne,trochę ważne,ważne,nie mam zdania/trudno powiedzieć,raczej się zgadzam,zdecydowanie się zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,zdecydowanie się zgadzam,nie mam zdania/trudno powiedzieć,
2024-03-11 21:11:50,mężczyzna,46-50,wieś,wyższe,7001 i powyżej,tak,"cruelty-free (nietestowane na zwierzętach), carbon-neutral (o neutralnym śladzie węglowym), fair-trade (sprawiedliwy handel)",ważne,bardzo ważne,ważne,średnio ważne,bardzo ważne,nie mam zdania/trudno powiedzieć,raczej się nie zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,nie mam zdania/trudno powiedzieć,nie mam zdania/trudno powiedzieć,raczej się nie zgadzam,nie mam zdania/trudno powiedzieć,nie mam zdania/trudno powiedzieć,nie mam zdania/trudno powiedzieć,raczej się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,
2024-03-11 21:17:37,mężczyzna,51 i powyżej,wieś,średnie,5001 - 6000,nie,,,,,,,,,,,,,,,,,,,,niski stopień wiedzy na temat kosmetyków zrównoważonych
2024-03-11 21:24:35,mężczyzna,46-50,miejscowość powyżej 500 tys. mieszkańców,wyższe,nie chcę podawać,nie,,,,,,,,,,,,,,,,,,,,niski stopień wiedzy na temat kosmetyków zrównoważonych
2024-03-11 21:30:51,kobieta,26-30,wieś,wyższe,3001 - 4000,tak,"cruelty-free (nietestowane na zwierzętach), naturalne (min. 95% składników pochodzenia naturalnego), zero-waste (zero odpadów)",bardzo ważne,ważne,w ogóle nieważne,średnio ważne,ważne,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,zdecydowanie się nie zgadzam,raczej się nie zgadzam,nie mam zdania/trudno powiedzieć,nie mam zdania/trudno powiedzieć,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,
2024-03-11 21:31:41,kobieta,21-25,miejscowość powyżej 500 tys. mieszkańców,wyższe,5001 - 6000,tak,"cruelty-free (nietestowane na zwierzętach), naturalne (min. 95% składników pochodzenia naturalnego), wegańskie",bardzo ważne,bardzo ważne,średnio ważne,ważne,ważne,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,
2024-03-11 21:34:07,mężczyzna,20 i poniżej,miejscowość powyżej 500 tys. mieszkańców,średnie,3000 i poniżej,tak,"cruelty-free (nietestowane na zwierzętach), opakowanie z recyklingu",ważne,ważne,trochę ważne,w ogóle nieważne,trochę ważne,nie mam zdania/trudno powiedzieć,raczej się nie zgadzam,nie mam zdania/trudno powiedzieć,zdecydowanie się nie zgadzam,zdecydowanie się nie zgadzam,raczej się nie zgadzam,nie mam zdania/trudno powiedzieć,zdecydowanie się zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,
2024-03-11 21:40:57,kobieta,21-25,miejscowość powyżej 500 tys. mieszkańców,wyższe,3001 - 4000,tak,"cruelty-free (nietestowane na zwierzętach), naturalne (min. 95% składników pochodzenia naturalnego), wegańskie",ważne,średnio ważne,ważne,średnio ważne,trochę ważne,raczej się zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,raczej się nie zgadzam,raczej się nie zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,zdecydowanie się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,
2024-03-11 23:45:33,kobieta,21-25,wieś,wyższe,3000 i poniżej,tak,"cruelty-free (nietestowane na zwierzętach), naturalne (min. 95% składników pochodzenia naturalnego), opakowanie z recyklingu",bardzo ważne,ważne,w ogóle nieważne,średnio ważne,średnio ważne,raczej się zgadzam,raczej się zgadzam,raczej się nie zgadzam,raczej się nie zgadzam,nie mam zdania/trudno powiedzieć,zdecydowanie się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,zdecydowanie się zgadzam,
2024-03-11 23:49:06,mężczyzna,21-25,miejscowość powyżej 500 tys. mieszkańców,wyższe,4001 - 5000,nie,,,,,,,,,,,,,,,,,,,,niski stopień wiedzy na temat kosmetyków zrównoważonych
2024-03-11 23:50:17,kobieta,51 i powyżej,wieś,wyższe,6001 - 7000,tak,"cruelty-free (nietestowane na zwierzętach), ekologiczne, organiczne (min. 95% składników pochodzenia naturalnego i z upraw ekologicznych)",ważne,ważne,średnio ważne,średnio ważne,ważne,raczej się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,nie mam zdania/trudno powiedzieć,zdecydowanie się zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,
2024-03-11 23:52:40,kobieta,21-25,miejscowość powyżej 500 tys. mieszkańców,średnie,3000 i poniżej,tak,"carbon-neutral (o neutralnym śladzie węglowym), fair-trade (sprawiedliwy handel), naturalne (min. 95% składników pochodzenia naturalnego)",ważne,średnio ważne,ważne,trochę ważne,bardzo ważne,nie mam zdania/trudno powiedzieć,raczej się nie zgadzam,nie mam zdania/trudno powiedzieć,zdecydowanie się nie zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,
2024-03-12 05:17:00,mężczyzna,26-30,wieś,średnie,4001 - 5000,tak,naturalne (min. 95% składników pochodzenia naturalnego),średnio ważne,ważne,trochę ważne,średnio ważne,ważne,raczej się zgadzam,zdecydowanie się nie zgadzam,raczej się zgadzam,raczej się nie zgadzam,nie mam zdania/trudno powiedzieć,nie mam zdania/trudno powiedzieć,raczej się zgadzam,raczej się zgadzam,raczej się nie zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,zdecydowanie się zgadzam,zdecydowanie się zgadzam,
2024-03-12 06:07:52,kobieta,20 i poniżej,miejscowość powyżej 500 tys. mieszkańców,średnie,3000 i poniżej,tak,"cruelty-free (nietestowane na zwierzętach), carbon-neutral (o neutralnym śladzie węglowym), naturalne (min. 95% składników pochodzenia naturalnego)",ważne,ważne,ważne,średnio ważne,średnio ważne,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się nie zgadzam,raczej się nie zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,
2024-03-12 07:47:38,kobieta,21-25,miejscowość powyżej 500 tys. mieszkańców,wyższe,4001 - 5000,tak,"cruelty-free (nietestowane na zwierzętach), naturalne (min. 95% składników pochodzenia naturalnego)",bardzo ważne,bardzo ważne,średnio ważne,trochę ważne,średnio ważne,raczej się zgadzam,nie mam zdania/trudno powiedzieć,nie mam zdania/trudno powiedzieć,raczej się nie zgadzam,nie mam zdania/trudno powiedzieć,nie mam zdania/trudno powiedzieć,nie mam zdania/trudno powiedzieć,raczej się zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,zdecydowanie się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,
2024-03-12 07:48:50,kobieta,21-25,wieś,średnie,3000 i poniżej,tak,naturalne (min. 95% składników pochodzenia naturalnego),bardzo ważne,średnio ważne,średnio ważne,ważne,średnio ważne,nie mam zdania/trudno powiedzieć,raczej się zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,raczej się nie zgadzam,raczej się nie zgadzam,zdecydowanie się zgadzam,nie mam zdania/trudno powiedzieć,
2024-03-12 08:08:14,kobieta,20 i poniżej,miejscowość do 500 tys. mieszkańców,średnie,3000 i poniżej,tak,"bio (min. 50% składników z upraw biologicznych), ekologiczne, opakowanie z recyklingu",bardzo ważne,bardzo ważne,w ogóle nieważne,trochę ważne,trochę ważne,zdecydowanie się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,zdecydowanie się nie zgadzam,zdecydowanie się nie zgadzam,zdecydowanie się nie zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,raczej się nie zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,
2024-03-12 08:15:57,kobieta,21-25,wieś,wyższe,3001 - 4000,tak,naturalne (min. 95% składników pochodzenia naturalnego),ważne,ważne,trochę ważne,w ogóle nieważne,trochę ważne,raczej się nie zgadzam,zdecydowanie się zgadzam,raczej się nie zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się nie zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,
2024-03-12 08:57:08,kobieta,21-25,miejscowość powyżej 500 tys. mieszkańców,wyższe,3001 - 4000,tak,"cruelty-free (nietestowane na zwierzętach), naturalne (min. 95% składników pochodzenia naturalnego), opakowanie z recyklingu",ważne,ważne,średnio ważne,trochę ważne,ważne,nie mam zdania/trudno powiedzieć,raczej się nie zgadzam,raczej się nie zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,
2024-03-12 09:50:22,kobieta,26-30,miejscowość powyżej 500 tys. mieszkańców,wyższe,3000 i poniżej,tak,"cruelty-free (nietestowane na zwierzętach), organiczne (min. 95% składników pochodzenia naturalnego i z upraw ekologicznych)",bardzo ważne,ważne,w ogóle nieważne,ważne,średnio ważne,raczej się nie zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,raczej się nie zgadzam,raczej się nie zgadzam,nie mam zdania/trudno powiedzieć,zdecydowanie się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,
2024-03-12 10:16:03,kobieta,20 i poniżej,miejscowość do 250 tys. mieszkańców,średnie,3000 i poniżej,tak,cruelty-free (nietestowane na zwierzętach),średnio ważne,ważne,w ogóle nieważne,trochę ważne,ważne,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,nie mam zdania/trudno powiedzieć,raczej się zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,nie mam zdania/trudno powiedzieć,raczej się zgadzam,
2024-03-12 10:58:49,kobieta,26-30,miejscowość powyżej 500 tys. mieszkańców,wyższe,nie chcę podawać,tak,"naturalne (min. 95% składników pochodzenia naturalnego), organiczne (min. 95% składników pochodzenia naturalnego i z upraw ekologicznych), zero-waste (zero odpadów)",średnio ważne,ważne,trochę ważne,trochę ważne,ważne,raczej się nie zgadzam,raczej się nie zgadzam,zdecydowanie się nie zgadzam,raczej się nie zgadzam,raczej się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,
2024-03-12 11:55:29,kobieta,21-25,wieś,średnie,3000 i poniżej,tak,"cruelty-free (nietestowane na zwierzętach), naturalne (min. 95% składników pochodzenia naturalnego), wegańskie",ważne,bardzo ważne,ważne,trochę ważne,bardzo ważne,raczej się zgadzam,raczej się nie zgadzam,nie mam zdania/trudno powiedzieć,raczej się nie zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,
2024-03-12 12:52:29,mężczyzna,21-25,miejscowość do 100 tys. mieszkańców,średnie,3000 i poniżej,nie,,,,,,,,,,,,,,,,,,,,"zbyt wysoka cena, niski stopień wiedzy na temat kosmetyków zrównoważonych"
2024-03-12 13:44:21,kobieta,26-30,miejscowość powyżej 500 tys. mieszkańców,wyższe,nie chcę podawać,tak,"ekologiczne, naturalne (min. 95% składników pochodzenia naturalnego)",ważne,ważne,w ogóle nieważne,w ogóle nieważne,trochę ważne,raczej się nie zgadzam,raczej się nie zgadzam,raczej się zgadzam,zdecydowanie się nie zgadzam,zdecydowanie się zgadzam,nie mam zdania/trudno powiedzieć,zdecydowanie się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,
2024-03-12 14:55:14,kobieta,26-30,miejscowość powyżej 500 tys. mieszkańców,wyższe,4001 - 5000,tak,"naturalne (min. 95% składników pochodzenia naturalnego), wegańskie",bardzo ważne,średnio ważne,średnio ważne,średnio ważne,ważne,nie mam zdania/trudno powiedzieć,raczej się zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,
2024-03-12 17:39:58,kobieta,21-25,miejscowość powyżej 500 tys. mieszkańców,wyższe,3000 i poniżej,tak,"naturalne (min. 95% składników pochodzenia naturalnego), organiczne (min. 95% składników pochodzenia naturalnego i z upraw ekologicznych)",średnio ważne,ważne,średnio ważne,w ogóle nieważne,ważne,raczej się nie zgadzam,raczej się nie zgadzam,raczej się nie zgadzam,raczej się nie zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,zdecydowanie się zgadzam,zdecydowanie się zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,nie mam zdania/trudno powiedzieć,zdecydowanie się zgadzam,raczej się zgadzam,
2024-03-12 17:50:28,mężczyzna,51 i powyżej,wieś,średnie,nie chcę podawać,tak,"ekologiczne, naturalne (min. 95% składników pochodzenia naturalnego), organiczne (min. 95% składników pochodzenia naturalnego i z upraw ekologicznych)",średnio ważne,bardzo ważne,średnio ważne,średnio ważne,bardzo ważne,zdecydowanie się zgadzam,nie mam zdania/trudno powiedzieć,zdecydowanie się zgadzam,raczej się nie zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,
2024-03-12 18:47:42,kobieta,21-25,miejscowość powyżej 500 tys. mieszkańców,średnie,3001 - 4000,tak,naturalne (min. 95% składników pochodzenia naturalnego),ważne,ważne,ważne,średnio ważne,średnio ważne,raczej się nie zgadzam,zdecydowanie się nie zgadzam,raczej się zgadzam,zdecydowanie się nie zgadzam,zdecydowanie się zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,zdecydowanie się zgadzam,raczej się zgadzam,raczej się zgadzam,
2024-03-12 20:04:58,kobieta,41-45,wieś,wyższe,7001 i powyżej,tak,"naturalne (min. 95% składników pochodzenia naturalnego), organiczne (min. 95% składników pochodzenia naturalnego i z upraw ekologicznych)",ważne,ważne,trochę ważne,trochę ważne,bardzo ważne,raczej się nie zgadzam,zdecydowanie się nie zgadzam,raczej się nie zgadzam,nie mam zdania/trudno powiedzieć,nie mam zdania/trudno powiedzieć,nie mam zdania/trudno powiedzieć,raczej się zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,nie mam zdania/trudno powiedzieć,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,
2024-03-12 21:01:22,mężczyzna,36-40,wieś,wyższe,7001 i powyżej,tak,"ekologiczne, naturalne (min. 95% składników pochodzenia naturalnego), organiczne (min. 95% składników pochodzenia naturalnego i z upraw ekologicznych)",trochę ważne,średnio ważne,średnio ważne,trochę ważne,średnio ważne,raczej się zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,raczej się nie zgadzam,raczej się nie zgadzam,raczej się nie zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się nie zgadzam,raczej się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,
2024-03-13 08:17:56,kobieta,41-45,miejscowość do 100 tys. mieszkańców,średnie,7001 i powyżej,tak,"cruelty-free (nietestowane na zwierzętach), naturalne (min. 95% składników pochodzenia naturalnego), opakowanie z recyklingu",trochę ważne,bardzo ważne,w ogóle nieważne,w ogóle nieważne,ważne,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,zdecydowanie się zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,
2024-03-13 10:07:51,kobieta,51 i powyżej,wieś,wyższe,4001 - 5000,tak,"fair-trade (sprawiedliwy handel), naturalne (min. 95% składników pochodzenia naturalnego)",ważne,ważne,średnio ważne,średnio ważne,ważne,nie mam zdania/trudno powiedzieć,nie mam zdania/trudno powiedzieć,nie mam zdania/trudno powiedzieć,zdecydowanie się nie zgadzam,raczej się nie zgadzam,nie mam zdania/trudno powiedzieć,raczej się nie zgadzam,nie mam zdania/trudno powiedzieć,nie mam zdania/trudno powiedzieć,nie mam zdania/trudno powiedzieć,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,
2024-03-13 10:13:44,kobieta,31-35,wieś,wyższe,3001 - 4000,nie,,,,,,,,,,,,,,,,,,,,"zbyt wysoka cena, brak dostrzegalnej różnicy w porównaniu z konwencjonalnymi kosmetykami, krótki okres przydatności do użycia"
2024-03-13 10:20:23,kobieta,36-40,wieś,średnie,4001 - 5000,tak,"ekologiczne, opakowanie z recyklingu, zero-waste (zero odpadów)",bardzo ważne,w ogóle nieważne,bardzo ważne,bardzo ważne,w ogóle nieważne,zdecydowanie się nie zgadzam,zdecydowanie się nie zgadzam,zdecydowanie się nie zgadzam,zdecydowanie się nie zgadzam,zdecydowanie się nie zgadzam,nie mam zdania/trudno powiedzieć,nie mam zdania/trudno powiedzieć,nie mam zdania/trudno powiedzieć,raczej się zgadzam,zdecydowanie się nie zgadzam,zdecydowanie się nie zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,
2024-03-13 10:28:36,kobieta,46-50,miejscowość do 100 tys. mieszkańców,wyższe,5001 - 6000,tak,"cruelty-free (nietestowane na zwierzętach), ekologiczne",bardzo ważne,bardzo ważne,bardzo ważne,ważne,bardzo ważne,raczej się zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,nie mam zdania/trudno powiedzieć,nie mam zdania/trudno powiedzieć,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,
2024-03-13 10:31:08,kobieta,26-30,miejscowość do 250 tys. mieszkańców,podstawowe,3000 i poniżej,tak,"cruelty-free (nietestowane na zwierzętach), naturalne (min. 95% składników pochodzenia naturalnego)",trochę ważne,ważne,w ogóle nieważne,w ogóle nieważne,bardzo ważne,nie mam zdania/trudno powiedzieć,raczej się zgadzam,zdecydowanie się zgadzam,nie mam zdania/trudno powiedzieć,raczej się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,nie mam zdania/trudno powiedzieć,
2024-03-13 10:40:44,kobieta,26-30,miejscowość powyżej 500 tys. mieszkańców,wyższe,4001 - 5000,tak,"cruelty-free (nietestowane na zwierzętach), fair-trade (sprawiedliwy handel)",ważne,trochę ważne,średnio ważne,trochę ważne,trochę ważne,raczej się nie zgadzam,zdecydowanie się nie zgadzam,nie mam zdania/trudno powiedzieć,zdecydowanie się nie zgadzam,zdecydowanie się nie zgadzam,zdecydowanie się nie zgadzam,raczej się nie zgadzam,nie mam zdania/trudno powiedzieć,nie mam zdania/trudno powiedzieć,nie mam zdania/trudno powiedzieć,raczej się nie zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,
2024-03-13 11:01:28,kobieta,21-25,miejscowość powyżej 500 tys. mieszkańców,wyższe,3000 i poniżej,tak,"carbon-neutral (o neutralnym śladzie węglowym), naturalne (min. 95% składników pochodzenia naturalnego), wegańskie",średnio ważne,ważne,trochę ważne,w ogóle nieważne,średnio ważne,nie mam zdania/trudno powiedzieć,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,
2024-03-13 11:02:08,kobieta,46-50,wieś,wyższe,6001 - 7000,tak,"cruelty-free (nietestowane na zwierzętach), opakowanie z recyklingu, organiczne (min. 95% składników pochodzenia naturalnego i z upraw ekologicznych)",ważne,bardzo ważne,w ogóle nieważne,trochę ważne,średnio ważne,zdecydowanie się nie zgadzam,zdecydowanie się nie zgadzam,zdecydowanie się nie zgadzam,zdecydowanie się nie zgadzam,raczej się zgadzam,raczej się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,raczej się zgadzam,raczej się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,zdecydowanie się zgadzam,
